rd_zh,rd_en
華夏巷西四弄,"W. 4TH ALY., HUAXIA LN."
華夏巷西五弄,"W. 5TH ALY., HUAXIA LN."
華夏巷西六弄,"W. 6TH ALY., HUAXIA LN."
華夏巷東一弄,"E. 1ST ALY., HUAXIA LN."
華夏巷東二弄,"E. 2ND ALY., HUAXIA LN."
華夏巷東三弄,"E. 3RD ALY., HUAXIA LN."
華夏巷東四弄,"E. 4TH ALY., HUAXIA LN."
華夏巷東五弄,"E. 5TH ALY., HUAXIA LN."
華夏巷東六弄,"E. 6TH ALY., HUAXIA LN."
華夏新村,HUAXIA NEW VIL.
華夏路,HUAXIA RD.
華峰一街,HUAFENG 1ST ST.
華峰二街,HUAFENG 2ND ST.
華峰三街,HUAFENG 3RD ST.
華泰一街,HUATAI 1ST ST.
華泰二街,HUATAI 2ND ST.
華泰三街,HUATAI 3RD ST.
華泰五街,HUATAI 5TH ST.
華泰西街,HUATAI W. ST.
華泰東街,HUATAI E. ST.
華泰街,HUATAI ST.
華泰路,HUATAI RD.
華偉街,HUAWEI ST.
華國街,HUAGUO ST.
華國新村,HUAGUO NEW VIL.
華崗,HUAGANG
華崗路,HUAGANG RD.
華康街,HUAKANG ST.
華梵路,HUAFAN RD.
華清街,HUAQING ST.
華盛一街,HUASHENG 1ST ST.
華盛二街,HUASHENG 2ND ST.
華盛三街,HUASHENG 3RD ST.
華盛巷,HUASHENG LN.
華盛街,HUASHENG ST.
華祥一街,HUAXIANG 1ST ST.
華祥二街,HUAXIANG 2ND ST.
華祥三街,HUAXIANG 3RD ST.
華祥路,HUAXIANG RD.
華陰街,HUAYIN ST.
華鹿,HUALU
華勝路,HUASHENG RD.
華勛街,HUAXUN ST.
華富山,HUAFUSHAN
華富街,HUAFU ST.
華富路,HUAFU RD.
華貴街,HUAGUI ST.
華貴路,HUAGUI RD.
華陽巷,HUAYANG LN.
華陽街,HUAYANG ST.
華陽新村,HUAYANG NEW VIL.
華陽路,HUAYANG RD.
華隆街,HUALONG ST.
華順街,HUASHUN ST.
華園,HUAYUAN
華園一路,HUAYUAN 1ST RD.
華園二路,HUAYUAN 2ND RD.
華園莊,HUAYUAN VIL.
華園街,HUAYUAN ST.
華園路,HUAYUAN RD.
華廈街,HUAXIA ST.
華愛一街,HUA'AI 1ST ST.
華愛街,HUA'AI ST.
華新一路,HUAXIN 1ST RD.
華新二路,HUAXIN 2ND RD.
華新街,HUAXIN ST.
華新路,HUAXIN RD.
華寧路,HUANING RD.
華榮一街,HUARONG 1ST ST.
華榮二街,HUARONG 2ND ST.
華榮三街,HUARONG 3RD ST.
華榮街,HUARONG ST.
華榮路,HUARONG RD.
華福街,HUAFU ST.
華綠溪,HUALUXI
華德街,HUADE ST.
華德福街,HUADEFU ST.
華潭街,HUATAN ST.
華興,HUAXING
華興一街,HUAXING 1ST ST.
華興二街,HUAXING 2ND ST.
華興三街,HUAXING 3RD ST.
華興四街,HUAXING 4TH ST.
華興五街,HUAXING 5TH ST.
華興六街,HUAXING 6TH ST.
華興七街,HUAXING 7TH ST.
華興巷,HUAXING LN.
華興街,HUAXING ST.
華興路,HUAXING RD.
華興路一段,"SEC. 1, HUAXING RD."
華興路二段,"SEC. 2, HUAXING RD."
華錦路,HUAJIN RD.
華龍巷,HUALONG LN.
華聲街,HUASHENG ST.
華豐一街,HUAFENG 1ST ST.
華豐三街,HUAFENG 3RD ST.
華豐五街,HUAFENG 5TH ST.
華豐街,HUAFENG ST.
華豐街三村巷,"SANCUN LN., HUAFENG ST."
華齡街,HUALING ST.
華巖街,HUAYAN ST.
萊衣街,LAIYI ST.
萊坑,LAIKENG
萊竿寮,LAIGANLIAO
萊園路,LAIYUAN RD.
菊中街,JUZHONG ST.
菊東路,JUDONG RD.
菜公一路,CAIGONG 1ST RD.
菜公西巷,CAIGONG W. LN.
菜公坑,CAIGONGKENG
菜公店,CAIGONGDIAN
菜公東巷,CAIGONG E. LN.
菜公巷,CAIGONG LN.
菜公厝,CAIGONGCUO
菜公路,CAIGONG RD.
菜市場,VEGETABLE MARKET
菜市場路,CAISHICHANG RD.
菜市街,CAISHI ST.
菜瓜坪,CAIGUAPING
菜瓜窩,CAIGUAWO
菜庄巷,CAIZHUANG LN.
菜堂,CAITANG
菜堂下,CAITANGXIA
菜堂巷,CAITANG LN.
菜堂頂,CAITANGDING
菜園,CAIYUAN
菜園巷,CAIYUAN LN.
菜園頂,CAIYUANDING
菜園街,CAIYUAN ST.
菜園路,CAIYUAN RD.
菜寮,CAILIAO
菜寮村大平路,"DAPING RD., CAILIAO VIL."
菜寮村中山路,"ZHONGSHAN RD., CAILIAO VIL."
菜寮村中正路,"ZHONGZHENG RD., CAILIAO VIL."
菜寮村永樂巷,"YONGLE LN., CAILIAO VIL."
菜寮村西平路,"XIPING RD., CAILIAO VIL."
菜寮村東平路,"DONGPING RD., CAILIAO VIL."
菜寮路,CAILIAO RD.
菜舖部,CAIPUBU
蛤里味,GELIWEI
街仔頭,JIEZAITOU
街尾里竹圍巷,"ZHUWEI LN., JIEWEI VIL."
街頂巷,JIEDING LN.
詔安,ZHAO'AN
詔安里竹圍巷,"ZHUWEI LN., ZHAO'AN VIL."
詔安巷,ZHAO'AN LN.
詔安厝,ZHAO'ANCUO
詔安街,ZHAO'AN ST.
詔安寮,ZHAO'ANLIAO
象山,XIANGSHAN
象山路,XIANGSHAN RD.
象鼻,XIANGBI
象鼻路,XIANGBI RD.
賀老寮,HELAOLIAO
貴人路,GUIREN RD.
貴子路,GUIZI RD.
貴山街,GUISHAN ST.
貴州二街,GUIZHOU 2ND ST.
貴州三街,GUIZHOU 3RD ST.
貴州四街,GUIZHOU 4TH ST.
貴州街,GUIZHOU ST.
貴和街,GUIHE ST.
貴林一路,GUILIN 1ST RD.
貴林二路,GUILIN 2ND RD.
貴林路一段,"SEC. 1, GUILIN RD."
貴林路二段,"SEC. 2, GUILIN RD."
貴舍,GUISHE
貴南街,GUINAN ST.
貴品居,GUIPINJU
貴富街,GUIFU ST.
貴陽街,GUIYANG ST.
貴陽街一段,"SEC. 1, GUIYANG ST."
貴陽街二段,"SEC. 2, GUIYANG ST."
貴鳳街,GUIFENG ST.
貴德街,GUIDE ST.
貴興路,GUIXING RD.
貿一路,MAO 1ST RD.
貿三路,MAO 3RD RD.
貿五路,MAO 5TH RD.
貿中街,MAOZHONG ST.
貿北路,MAOBEI RD.
貿西路,MAOXI RD.
貿易十村,MAOYI 10TH VIL.
貿東路,MAODONG RD.
貿商街,MAOSHANG ST.
超峰街,CHAOFENG ST.
跋邊路,BABIAN RD.
逸仙路,YIXIAN RD.
逸林街,YILIN ST.
逸境新村,YIJING NEW VIL.
進士一路,JINSHI 1ST RD.
進士路一段,"SEC. 1, JINSHI RD."
進士路二段,"SEC. 2, JINSHI RD."
進元路,JINYUAN RD.
進化北路,JINHUA N. RD.
進化巷,JINHUA LN.
進化街,JINHUA ST.
進化路,JINHUA RD.
進安街,JIN'AN ST.
進安路,JIN'AN RD.
進利一路,JINLI 1ST RD.
進利二路,JINLI 2ND RD.
進利三路,JINLI 3RD RD.
進利五路,JINLI 5TH RD.
進利路,JINLI RD.
進村巷,JINCUN LN.
進修街,JINXIU ST.
進高路,JINGAO RD.
進偉一路,JINWEI 1ST RD.
進偉二路,JINWEI 2ND RD.
進偉三路,JINWEI 3RD RD.
進偉五路,JINWEI 5TH RD.
進偉六路,JINWEI 6TH RD.
進偉路,JINWEI RD.
進源街,JINYUAN ST.
進福路,JINFU RD.
進德一街,JINDE 1ST ST.
進德二街,JINDE 2ND ST.
進德北路,JINDE N. RD.
進德街,JINDE ST.
進德路,JINDE RD.
進樂路,JINLE RD.
進賢路,JINXIAN RD.
進學一街,JINXUE 1ST ST.
進學二街,JINXUE 2ND ST.
進學三街,JINXUE 3RD ST.
進學街,JINXUE ST.
進學路,JINXUE RD.
進學路必忠巷,"BIZHONG LN., JINXUE RD."
進學路國小巷,"GUOXIAO LN., JINXUE RD."
進興,JINXING
進興一路,JINXING 1ST RD.
進興二路,JINXING 2ND RD.
進興巷,JINXING LN.
進興街,JINXING ST.
進興路,JINXING RD.
進豐街,JINFENG ST.
郵局街,YOUJU ST.
郵政街,YOUZHENG ST.
郵政路,YOUZHENG RD.
郵電街,YOUDIAN ST.
鄉友街,XIANGYOU ST.
鄉村世界,XIANGCUN SHIJIE
鄉林巷,XIANGLIN LN.
鄉長路一段,"SEC. 1, XIANGZHANG RD."
鄉長路二段,"SEC. 2, XIANGZHANG RD."
鄉界路,XIANGJIE RD.
鄉根一巷,XIANGGEN 1ST LN.
鄉根二巷,XIANGGEN 2ND LN.
開山街,KAISHAN ST.
開山路,KAISHAN RD.
開元一巷,KAIYUAN 1ST LN.
開元一街,KAIYUAN 1ST ST.
開元二巷,KAIYUAN 2ND LN.
開元二街,KAIYUAN 2ND ST.
開元三巷,KAIYUAN 3RD LN.
開元三街,KAIYUAN 3RD ST.
開元后,KAIYUANHOU
開元街,KAIYUAN ST.
開元路,KAIYUAN RD.
開元路英才巷,"YINGCAI LN., KAIYUAN RD."
開平路,KAIPING RD.
開安一街,KAI'AN 1ST ST.
開安二街,KAI'AN 2ND ST.
開安三街,KAI'AN 3RD ST.
開安四街,KAI'AN 4TH ST.
開安五街,KAI'AN 5TH ST.
開安六街,KAI'AN 6TH ST.
開安路,KAI'AN RD.
開和路,KAIHE RD.
開明街,KAIMING ST.
開明路,KAIMING RD.
開信巷,KAIXIN LN.
開信巷久久安,"JIUJIU'AN, KAIXIN LN."
開信巷土虱灣,"TUSHIWAN, KAIXIN LN."
開信巷合流坪,"HELIUPING, KAIXIN LN."
開信巷姑姑山,"GUGUSHAN, KAIXIN LN."
開南一巷,KAINAN 1ST LN.
開南二巷,KAINAN 2ND LN.
開南三巷,KAINAN 3RD LN.
開南巷,KAINAN LN.
開南街,KAINAN ST.
開南路,KAINAN RD.
開封街,KAIFENG ST.
開封街一段,"SEC. 1, KAIFENG ST."
開封街二段,"SEC. 2, KAIFENG ST."
開封路,KAIFENG RD.
開原街,KAIYUAN ST.
開高巷,KAIGAO LN.
開高巷沙里仙,"SHALIXIAN, KAIGAO LN."
開埤巷,KAIPI LN.
開發一路,KAIFA 1ST RD.
開發二路,KAIFA 2ND RD.
開發三路,KAIFA 3RD RD.
開發四路,KAIFA 4TH RD.
開發五路,KAIFA 5TH RD.
開發六路,KAIFA 6TH RD.
開發七路,KAIFA 7TH RD.
開發新村,KAIFA NEW VIL.
開發路,KAIFA RD.
開發橋,KAIFA BRIDGE
開隆街,KAILONG ST.
開興路,KAIXING RD.
開羅街,KAILUO ST.
開礦,KAIGONG
開蘭東路,KAILAN E. RD.
開蘭路,KAILAN RD.
開蘭舊路,KAILANJIU RD.
閑谷一街,XIANGU 1ST ST.
閑谷二街,XIANGU 2ND ST.
閑谷三街,XIANGU 3RD ST.
閑谷街,XIANGU ST.
隋唐街,SUITANG ST.
陽光二路,YANGGUANG 2ND RD.
陽光三路,YANGGUANG 3RD RD.
陽光大道,YANGGUANG BLVD.
陽光北一路,YANGGUANG N. 1ST RD.
陽光南一路,YANGGUANG S. 1ST RD.
陽光街,YANGGUANG ST.
陽住坑,YANGZHUKENG
陽沙路,YANGSHA RD.
陽和巷,YANGHE LN.
陽明,YANGMING
陽明一街,YANGMING 1ST ST.
陽明一路,YANGMING 1ST RD.
陽明二街,YANGMING 2ND ST.
陽明二路,YANGMING 2ND RD.
陽明三街,YANGMING 3RD ST.
陽明三路,YANGMING 3RD RD.
陽明五街,YANGMING 5TH ST.
陽明六街,YANGMING 6TH ST.
陽明六路,YANGMING 6TH RD.
陽明七街,YANGMING 7TH ST.
陽明八街,YANGMING 8TH ST.
陽明九街,YANGMING 9TH ST.
陽明十街,YANGMING 10TH ST.
陽明十一街,YANGMING 11TH ST.
陽明十二街,YANGMING 12TH ST.
陽明北路,YANGMING N. RD.
陽明巷,YANGMING LN.
陽明街,YANGMING ST.
陽明新村,YANGMING NEW VIL.
陽明路,YANGMING RD.
陽明路一段,"SEC. 1, YANGMING RD."
陽明路二段,"SEC. 2, YANGMING RD."
陽東營區,YANGDONG CAMP
陽東營區忠一路,"YANGDONG CAMP, ZHONG 1ST RD."
陽東營區忠二路,"YANGDONG CAMP, ZHONG 2ND RD."
陽東營區忠三路,"YANGDONG CAMP, ZHONG 3RD RD."
陽東營區忠四路,"YANGDONG CAMP, ZHONG 4TH RD."
陽東營區忠五路,"YANGDONG CAMP, ZHONG 5TH RD."
陽東營區忠六路,"YANGDONG CAMP, ZHONG 6TH RD."
陽東營區忠七路,"YANGDONG CAMP, ZHONG 7TH RD."
陽東營區勇一路,"YANGDONG CAMP, YONG 1ST RD."
陽東營區勇二路,"YANGDONG CAMP, YONG 2ND RD."
陽東營區勇三路,"YANGDONG CAMP, YONG 3RD RD."
陽東營區勇四路,"YANGDONG CAMP, YONG 4TH RD."
陽東營區勇五路,"YANGDONG CAMP, YONG 5TH RD."
陽東營區勇六路,"YANGDONG CAMP,YONG 6TH RD."
陽東營區勇七路,"YANGDONG CAMP, YONG 7TH RD."
陽東營區勇八路,"YANGDONG CAMP, YONG 8TH RD."
陽東營區勇九路,"YANGDONG CAMP, YONG 9TH RD."
陽翟,YANGZHAI
陽翟新興社區,YANGZHAIXINXING COMMUNITY
陽濟路,YANGJI RD.
隆山路,LONGSHAN RD.
隆生巷,LONGSHENG LN.
隆生路,LONGSHENG RD.
隆生路二段,"SEC. 2, LONGSHENG RD."
隆光巷,LONGGUANG LN.
隆安路,LONG'AN RD.
隆西街,LONGXI ST.
隆昌,LONGCHANG
隆昌街,LONGCHANG ST.
隆昌路,LONGCHANG RD.
隆林街,LONGLIN ST.
隆林路,LONGLIN RD.
隆社路,LONGSHE RD.
隆恩街,LONG'EN ST.
隆恩路,LONG'EN RD.
隆盛路,LONGSHENG RD.
隆頂街,LONGDING ST.
隆智街,LONGZHI ST.
隆華街,LONGHUA ST.
隆華路,LONGHUA RD.
隆斌街,LONGBIN ST.
隆德街,LONGDE ST.
隆德新村,LONGDE NEW VIL.
隆興,LONGXING
隆興村崎頭仔,"QITOUZAI, LONGXING VIL."
隆興街,LONGXING ST.
隆興路,LONGXING RD.
隆豐街,LONGFENG ST.
隆豐路,LONGFENG RD.
隆豐路忠德巷,"ZHONGDE LN., LONGFENG RD."
隆豐路振昌巷,"ZHENCHANG LN., LONGFENG RD."
隆豐路維新巷,"WEIXIN LN., LONGFENG RD."
隆豐路銘昌巷,"MINGCHANG LN., LONGFENG RD."
雁門路,YANMEN RD.
雅比斯街,YABISI ST.
雅安路,YA'AN RD.
雅江街,YAJIANG ST.
雅竹路,YAZHU RD.
雅秀一路,YAXIU 1ST RD.
雅秀三路,YAXIU 3RD RD.
雅秀五路,YAXIU 5TH RD.
雅秀七路,YAXIU 7TH RD.
雅秀路,YAXIU RD.
雅典一路,YADIAN 1ST RD.
雅典路,YADIAN RD.
雅東巷,YADONG LN.
雅楓街,YAFENG ST.
雅樂巷,YALE LN.
雅潭路,YATAN RD.
雅潭路一段,"SEC. 1, YATAN RD."
雅潭路二段,"SEC. 2, YATAN RD."
雅潭路三段,"SEC. 3, YATAN RD."
雅潭路三段東寶巷,"DONGBAO LN., SEC. 3, YATAN RD."
雅潭路四段,"SEC. 4, YATAN RD."
雅興街,YAXING ST.
雅環一街,YAHUAN 1ST ST.
雅環路一段,"SEC. 1, YAHUAN RD."
雅環路二段,"SEC. 2, YAHUAN RD."
雅環路三段,"SEC. 3, YAHUAN RD."
雅環路三段大明一巷,"DAMING 1ST LN., SEC. 3, YAHUAN RD."
雅環路三段大明二巷,"DAMING 2ND LN., SEC. 3, YAHUAN RD."
雅環路三段大明三巷,"DAMING 3RD LN., SEC. 3, YAHUAN RD."
雅豐街,YAFENG ST.
雄峰路,XIONGFENG RD.
集山路一段,"SEC. 1, JISHAN RD."
集山路二段,"SEC. 2, JISHAN RD."
集山路三段,"SEC. 3, JISHAN RD."
集中巷,JIZHONG LN.
集仁街,JIREN ST.
集民街,JIMIN ST.
集安路,JI'AN RD.
集成巷,JICHENG LN.
集成路,JICHENG RD.
集里路,JILI RD.
集和街,JIHE ST.
集勇街,JIYONG ST.
集美街,JIMEI ST.
集英街,JIYING ST.
集英路,JIYING RD.
集祥路,JIXIANG RD.
集連巷,JILIAN LN.
集鹿南路,JILU S. RD.
集鹿路,JILU RD.
集智街,JIZHI ST.
集集街,JIJI ST.
集義路,JIYI RD.
集福街,JIFU ST.
集慶一路,JIQING 1ST RD.
集慶二路,JIQING 2ND RD.
集慶三路,JIQING 3RD RD.
集慶五路,JIQING 5TH RD.
集慶六路,JIQING 6TH RD.
集慶七路,JIQING 7TH RD.
集慶八路,JIQING 8TH RD.
集賢一路,JIXIAN 1ST RD.
集賢二路,JIXIAN 2ND RD.
集賢街,JIXIAN ST.
集賢路,JIXIAN RD.
雲中街,YUNZHONG ST.
雲和街,YUNHE ST.
雲林新村,YUNLIN NEW VIL.
雲林新村一路,"1ST RD., YUNLIN NEW VIL."
雲林新村二路,"2ND RD., YUNLIN NEW VIL."
雲林溪攤販區,"VENDORS AREA, YUNLIN RIVER"
雲林路,YUNLIN RD.
雲林路一段,"SEC. 1, YUNLIN RD."
雲林路二段,"SEC. 2, YUNLIN RD."
雲林路三段,"SEC. 3, YUNLIN RD."
雲長路,YUNZHANG RD.
雲南街,YUNNAN ST.
雲南路,YUNNAN RD.
雲科路一段,"SEC. 1, YUNKE RD."
雲科路二段,"SEC. 2, YUNKE RD."
雲科路三段,"SEC. 3, YUNKE RD."
雲科路四段,"SEC. 4, YUNKE RD."
雲埔路,YUNPU RD.
雲鄉路,YUNXIANG RD.
雲集街,YUNJI ST.
雲農倉,YUNNONGCANG
雲農路,YUNNONG RD.
雲嘉路,YUNJIA RD.
雲夢街,YUNMENG ST.
雲閩,YUNMIN
雲廣坑,YUNGUANGKENG
雲橋路,YUNQIAO RD.
雲頭路,YUNTOU RD.
雲頭路公益巷,"GONGYI LN., YUNTOU RD."
雲頭路公會巷,"GONGHUI LN., YUNTOU RD."
雲頭路月光巷,"YUEGUANG LN., YUNTOU RD."
雲頭路共和巷,"GONGHE LN., YUNTOU RD."
順山路,SHUNSHAN RD.
順元路,SHUNYUAN RD.
順天街,SHUNTIAN ST.
順天路,SHUNTIAN RD.
順平一街,SHUNPING 1ST ST.
順平二街,SHUNPING 2ND ST.
順平三街,SHUNPING 3RD ST.
順平巷,SHUNPING LN.
順平厝,SHUNPINGCUO
順平路,SHUNPING RD.
順圳巷,SHUNZUN LN.
順安街,SHUN'AN ST.
順安路,SHUN'AN RD.
順帆一街,SHUNFAN 1ST ST.
順帆三街,SHUNFAN 3RD ST.
順帆五街,SHUNFAN 5TH ST.
順帆七街,SHUNFAN 7TH ST.
順帆九街,SHUNFAN 9TH ST.
順帆十一街,SHUNFAN 11TH ST.
順帆十三街,SHUNFAN 13TH ST.
順帆北路,SHUNFAN N. RD.
順帆路,SHUNFAN RD.
順利一街,SHUNLI 1ST ST.
順利二街,SHUNLI 2ND ST.
順利路,SHUNLI RD.
順那,SHUNNA
順和一街,SHUNHE 1ST ST.
順和二街,SHUNHE 2ND ST.
順和三街,SHUNHE 3RD ST.
順和四街,SHUNHE 4TH ST.
順和五街,SHUNHE 5TH ST.
順和六街,SHUNHE 6TH ST.
順和七街,SHUNHE 7TH ST.
順和八街,SHUNHE 8TH ST.
順和九街,SHUNHE 9TH ST.
順和路,SHUNHE RD.
順昌街,SHUNCHANG ST.
順風路,SHUNFENG RD.
順時埔,SHUNSHIPU
順港路,SHUNGANG RD.
順溪北路一段,"SEC. 1, SHUNXI N. RD."
順溪北路二段,"SEC. 2, SHUNXI N. RD."
順溪南路一段,"SEC. 1, SHUNXI S. RD."
順溪南路二段,"SEC. 2, SHUNXI S. RD."
順溪南路三段,"SEC. 3, SHUNXI S. RD."
順漁路,SHUNYU RD.
順德街,SHUNDE ST.
順興,SHUNXING
順興一路,SHUNXING 1ST RD.
順興二路,SHUNXING 2ND RD.
順興三街,SHUNXING 3RD ST.
順興五街,SHUNXING 5TH ST.
順興六街,SHUNXING 6TH ST.
順興七街,SHUNXING 7TH ST.
順興街,SHUNXING ST.
順興路,SHUNXING RD.
順應巷,SHUNYING LN.
順寶巷,SHUNBAO LN.
飯店,FANDIAN
黃心寮,HUANGXINLIAO
黃泥塘,HUANGNITANG
黃金路,HUANGJIN RD.
黃帝街,HUANGDI ST.
黃厝,HUANGCUO
黃厝巷,HUANGCUO LN.
黃厝街,HUANGCUO ST.
黃厝新路,HUANGCUOXIN RD.
黃厝路,HUANGCUO RD.
黃埔二村,HUANGPU 2ND VIL.
黃埔二村西一巷,"W. 1ST LN., HUANGPU 2ND VIL."
黃埔二村西二巷,"W. 2ND LN., HUANGPU 2ND VIL."
黃埔二村西五巷,"W. 5TH LN., HUANGPU 2ND VIL."
黃埔二村東四巷,"E. 4TH LN., HUANGPU 2ND VIL."
黃埔三村,HUANGPU 3RD VIL.
黃埔四村,HUANGPU 4TH VIL.
黃埔五村,HUANGPU 5TH VIL.
黃埔六村,HUANGPU 6TH VIL.
黃埔七村,HUANGPU 7TH VIL.
黃埔七村特一巷,"TE 1ST LN., HUANGPU 7TH VIL."
黃埔街,HUANGPU ST.
黃埔新村,HUANGPU NEW VIL.
黃埔新村西一巷,"W. 1ST LN., HUANGPU NEW VIL."
黃埔新村西二巷,"W. 2ND LN., HUANGPU NEW VIL."
黃埔新村西三巷,"W. 3RD LN., HUANGPU NEW VIL."
黃埔新村西四巷,"W. 4TH LN., HUANGPU NEW VIL."
黃埔新村西五巷,"W. 5TH LN., HUANGPU NEW VIL."
黃埔新村西六巷,"W. 6TH LN., HUANGPU NEW VIL."
黃埔新村東一巷,"E. 1ST LN., HUANGPU NEW VIL."
黃埔新村東一橫巷,"E. 1ST SIDE LN., HUANGPU NEW VIL."
黃埔新村東二巷,"E. 2ND LN., HUANGPU NEW VIL."
黃埔新村東二橫巷,"E. 2ND SIDE LN., HUANGPU NEW VIL."
黃埔新村東三巷,"E. 3RD LN., HUANGPU NEW VIL."
黃埔新村東四巷,"E. 4TH LN., HUANGPU NEW VIL."
黃埔新村東五巷,"E. 5TH LN., HUANGPU NEW VIL."
黃埔新村東六巷,"E. 6TH LN., HUANGPU NEW VIL."
黃埔新村國校巷,"GUOXIAO LN., HUANGPU NEW VIL."
黃埔路,HUANGPU RD.
黃海街,HUANGHAI ST.
黃海路,HUANGHAI RD.
黃梨園,HUANGLIYUAN
黃興街,HUANGXING ST.
黃興路,HUANGXING RD.
黃舉皮寮,HUANGJUPILIAO
黑帽巷,HEIMAO LN.
塗墩巷,TUDUN LN.
廈竹圍,XIAZHUWEI
廈門街,XIAMEN ST.
溫泉,WENQUAN
溫泉一街,WENQUAN 1ST ST.
溫泉路,WENQUAN RD.
溫泉路一段,"SEC. 1, WENQUAN RD."
溫泉路二段,"SEC. 2, WENQUAN RD."
溫泉路三段,"SEC. 3, WENQUAN RD."
溫厝,WENCUO
箔子寮,BOZILIAO
龜佛山,GUIFOSHAN
湳子,NANZI
湳子路,NANZI RD.
湳中街,NANZHONG ST.
湳仔溝,NANZAIGOU
湳坑一街,NANKENG 1ST ST.
湳坑二街,NANKENG 2ND ST.
湳坑三街,NANKENG 3RD ST.
湳坑路一段,"SEC. 1, NANKENG RD."
湳坑路二段,"SEC. 2, NANKENG RD."
湳底一巷,NANDI 1ST LN.
湳底二巷,NANDI 2ND LN.
湳底北路,NANDI N. RD.
湳底西路,NANDI W. RD.
湳底東一路,NANDI E. 1ST RD.
湳底南一路,NANDI S. 1ST RD.
湳底南二路,NANDI S. 2ND RD.
湳底巷,NANDI LN.
湳底路,NANDI RD.
湳底路湳底一巷,"NANDI 1ST LN., NANDI RD."
湳底路湳底東巷,"NANDI E. LN., NANDI RD."
湳抵巷,NANDI LN.
湳埔巷,NANPU LN.
湳湖,NANHU
湳雅街,NANYA ST.
湳窟,NANKU
湳窩口,NANWOKOU
湳窩路,NANWO RD.
莿子埔,CIZIPU
莿仔寮,CIZAILIAO
莿桐北路一段,"SEC. 1, CITONG N. RD."
莿桐北路二段,"SEC. 2, CITONG N. RD."
莿桐南路一段,"SEC. 1, CITONG S. RD."
莿桐南路二段,"SEC. 2, CITONG S. RD."
莿桐路,CITONG RD.
詒福街,YIFU ST.
時裡,SHILI
傳廣路,CHUANGUANG RD.
傳藝路一段,"SEC. 1, CHUANYI RD."
傳藝路二段,"SEC. 2, CHUANYI RD."
傳藝路三段,"SEC. 3, CHUANYI RD."
僅那鹿角,KINANOKA
勤英路,QINYING RD.
勤富街,QINFU ST.
勤進路,QINJIN RD.
勤儉街,QINJIAN ST.
勤興街,QINXING ST.
勢林街,SHILIN ST.
園一街,YUAN 1ST ST.
園二街,YUAN 2ND ST.
園三街,YUAN 3RD ST.
園四街,YUAN 4TH ST.
園五街,YUAN 5TH ST.
園六街,YUAN 6TH ST.
園七街,YUAN 7TH ST.
園八街,YUAN 8TH ST.
園九街,YUAN 9TH ST.
園十街,YUAN 10TH ST.
園子,YUANZI
園中街,YUANZHONG ST.
園中路,YUANZHONG RD.
園北路,YUANBEI RD.
園西一路,YUANXI 1ST RD.
園西二路,YUANXI 2ND RD.
園西街,YUANXI ST.
園東一街,YUANDONG 1ST ST.
園東二街,YUANDONG 2ND ST.
園東街,YUANDONG ST.
園林大街,YUANLINDA ST.
園南一路,YUANNAN 1ST RD.
園南二路,YUANNAN 2ND RD.
園南三路,YUANNAN 3RD RD.
園南四路,YUANNAN 4TH RD.
園南路,YUANNAN RD.
園後街,YUANHOU ST.
園科路,YUANKE RD.
園茂路,YUANMAO RD.
園航路,YUANHANG RD.
園區一路,YUANQU 1ST RD.
園區二路,YUANQU 2ND RD.
園區三路,YUANQU 3RD RD.
園區五路,YUANQU 5TH RD.
園區街,YUANQU ST.
園區路,YUANQU RD.
園盛路,YUANSHENG RD.
園墘路,YUANQIAN RD.
園學路,YUANXUE RD.
圓山,YUANSHAN
圓山子,YUANSHANZI
圓山北路,YUANSHAN N. RD.
圓山巷,YUANSHAN LN.
圓山街,YUANSHAN ST.
圓山路,YUANSHAN RD.
圓光一路,YUANGUANG 1ST RD.
圓光路,YUANGUANG RD.
圓光路一段,"SEC. 1, YUANGUANG RD."
圓光路二段,"SEC. 2, YUANGUANG RD."
圓通南路,YUANTONG S. RD.
圓通路,YUANTONG RD.
圓福街,YUANFU ST.
圓墩,YUANDUN
圓樓前街,YUANLOUQIAN ST.
圓樓街,YUANLOU ST.
圓潭,YUANTAN
圓環北路一段,"SEC. 1, YUANHUAN N. RD."
圓環北路二段,"SEC. 2, YUANHUAN N. RD."
圓環西路,YUANHUAN W. RD.
圓環東路,YUANHUAN E. RD.
圓環南路,YUANHUAN S. RD.
圓環街,YUANHUAN ST.
圓環路,YUANHUAN RD.
塘下寮,TANGXIALIAO
塘尾,TANGWEI
塘岐村,TANGQI VIL.
塘背,TANGBEI
塘湖,TANGHU
塘興村坪頂,"PINGDING, TANGXING VIL."
塘頭,TANGTOU
塗城路,TUCHENG RD.
塔子腳,TAZIJIAO
塔后,TAHOU
塔城街,TACHENG ST.
塔悠路,TAYOU RD.
塔塔加,TATAKA
塔腳一路,TAJIAO 1ST RD.
塔腳二路,TAJIAO 2ND RD.
塔腳路,TAJIAO RD.
塔樓路,TALOU RD.
塭子,WENZI
塭子內,WENZINEI
塭內,WENNEI
塭仔路,WENZAI RD.
塭仔頭,WENZAITOU
塭田路,WENTIAN RD.
塭底,WENDI
塭底路,WENDI RD.
塭港,WENGANG
媽埔,MAPU
媽祖一巷,MAZU 1ST LN.
媽祖三巷,MAZU 3RD LN.
媽祖巷,MAZU LN.
媽祖宮一街,MAZUGONG 1ST ST.
媽祖宮二街,MAZUGONG 2ND ST.
